ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-5994002,Source1,2,2021-12-01 08:56:05,2021-12-01 11:03:00,30.445285,-81.719904,30.456724,-81.700802,1.385,Slow traffic on I-295 N - W Beltway N from FL-104/Dunn Ave/Exit 12 (I-295) to FL-115/Lem Turner Rd/Exit 13 (I-295) due to accident.,W Beltway N,Jacksonville,Duval,FL,32218,US,US/Eastern,KJAX,2021-12-01 08:56:00,54.0,54.0,72.0,30.24,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6966166,Source1,4,2020-09-22 15:36:00,2020-09-22 16:51:00,34.347994,-83.314498,34.346604,-83.318538,0.25,Incident on I-85 SB near GA-51 Road closed. Take alternate route.,GA-403 S,Carnesville,Franklin,GA,30521,US,US/Eastern,KTOC,2020-09-22 15:35:00,70.0,70.0,48.0,29.12,10.0,S,3.0,,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1423603,Source2,2,2020-08-14 06:12:23,2020-08-14 07:11:20,28.848721,-82.274971,,,0.0,Lane blocked due to accident on FL-44 Gulf To Lake Hwy both ways at CR-470 Gospel Island Rd.,E Gulf To Lake Hwy,Inverness,Citrus,FL,34450-5349,US,US/Eastern,KINF,2020-08-14 06:15:00,72.0,72.0,100.0,29.93,5.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-6951260,Source1,2,2020-12-17 02:17:16,2020-12-17 04:37:56,25.805304,-80.337346,25.805309,-80.33717299999998,0.011,Incident on NW 33RD ST near NW 87TH AVE Drive with caution.,NW 87th Ave,Miami,Miami-Dade,FL,33172,US,US/Eastern,KMIA,2020-12-17 01:53:00,73.0,73.0,93.0,29.95,10.0,S,6.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-1104970,Source2,3,2021-03-26 18:57:33,2021-03-26 19:58:08,32.916111,-96.432884,,,0.0,One lane blocked due to accident on I-30 Westbound at John King Blvd.,I-30 W,Rockwall,Rockwall,TX,75087,US,US/Central,KF46,2021-03-26 18:55:00,74.0,74.0,41.0,29.24,10.0,SSE,7.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2809563,Source2,2,2018-05-08 13:36:19,2018-05-08 14:06:12,35.87954699999999,-78.625084,,,0.0,Accident on Falls of Neuse Rd at Newton Rd.,Newton Rd,Raleigh,Wake,NC,27615-5227,US,US/Eastern,KRDU,2018-05-08 13:51:00,75.9,,43.0,30.14,10.0,NE,15.0,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7115082,Source1,2,2020-03-13 19:37:00,2020-03-13 21:09:44,34.020578,-117.814393,34.020578,-117.814393,0.0,At CA-57 - Accident.,CA-60 E,Diamond Bar,Los Angeles,CA,91765,US,US/Pacific,KPOC,2020-03-13 19:47:00,52.0,52.0,100.0,28.93,2.0,CALM,0.0,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-7206244,Source1,2,2020-02-29 23:01:00,2020-03-01 00:14:07,44.94874,-93.04056,44.94874,-93.04056,0.0,At I-94/US-12 - Accident., Burns Ave,Saint Paul,Ramsey,MN,55106-6701,US,US/Central,KSTP,2020-02-29 22:53:00,35.0,28.0,76.0,28.99,10.0,SE,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-1380057,Source2,2,2020-07-07 06:05:25,2020-07-07 09:02:24,35.046902,-101.227638,,,0.0,One lane blocked due to accident on US-287 Southbound at Juliet Rd.,US Highway 287,Clarendon,Armstrong,TX,79226-5120,US,US/Central,KPPA,2020-07-07 05:55:00,67.0,67.0,93.0,26.72,10.0,S,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3193834,Source2,3,2017-11-19 16:51:42,2017-11-19 17:21:25,30.267656,-82.754761,,,0.0,Accident on I-75 Southbound at Exit 435 I-10.,I-75 N,Lake City,Columbia,FL,32055,US,US/Eastern,KLCQ,2017-11-19 16:55:00,62.6,,42.0,29.95,10.0,NNW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-338366,Source2,2,2017-02-27 18:12:02,2017-02-27 18:56:46,37.799843,-120.644981,,,0.0,Accident on Willms Rd Northbound in Oakdale.,Willms Rd,Oakdale,Stanislaus,CA,95361-9524,US,US/Pacific,KMOD,2017-02-27 17:53:00,51.1,,43.0,29.93,10.0,NW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-3331910,Source2,2,2017-09-25 06:22:10,2017-09-25 06:51:38,47.441162,-122.217461,,,0.0,Slow traffic and right hand shoulder blocked due to multi-vehicle accident on WA-167 Northbound at 43rd St.,S 43rd St,Renton,King,WA,98055,US,US/Pacific,KRNT,2017-09-25 05:53:00,57.9,,87.0,30.11,10.0,SE,3.5,0.0,Overcast,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-5877482,Source1,2,2021-03-30 06:19:00,2021-03-30 08:32:14,35.375097,-119.044435,35.364586,-119.040342,0.762,Accident on CA-178/CA-58/Rosedale Hwy (CA-99) from CA-58 (CA-99) to CA-99 S - CA-58 E.,CA-58 E,Bakersfield,Kern,CA,93301,US,US/Pacific,KBFL,2021-03-30 05:54:00,53.0,53.0,57.0,29.45,9.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-7388187,Source1,2,2019-10-02 17:20:00,2019-10-02 19:13:56,36.578463,-121.906718,36.578463,-121.906718,0.0,At Munras Ave/Exit 399B - Accident.,CA-1 N,Carmel,Monterey,CA,93923,US,US/Pacific,KMRY,2019-10-02 16:54:00,65.0,65.0,50.0,29.75,10.0,W,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-200887,Source2,2,2017-01-19 07:48:47,2017-01-19 08:18:36,40.81826,-73.28984100000002,,,0.01,Accident on Northern State Pkwy Westbound at Exits 44 45 Sunken Meadow Pkwy.,Sunken Meadow Pkwy S,Commack,Suffolk,NY,11725,US,US/Eastern,KFRG,2017-01-19 07:53:00,36.0,,97.0,30.04,6.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2716964,Source2,3,2018-07-21 14:22:48,2018-07-21 14:52:13,39.315277,-120.441788,,,0.0,Accident on I-80 Westbound at Exit 171 Donner Pass Rd.,I-80 W,Norden,Placer,CA,95724,US,US/Pacific,KTRK,2018-07-21 14:46:00,86.0,,27.0,30.23,10.0,NW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1835179,Source2,2,2019-11-21 08:09:23,2019-11-21 08:53:54,35.75295999999999,-78.648445,,,0.0,Accident on I-40 Westbound at US-401 Saunders St.,I-40 W,Raleigh,Wake,NC,27603,US,US/Eastern,KRDU,2019-11-21 07:51:00,34.0,34.0,92.0,29.83,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4511795,Source1,2,2023-01-14 16:49:00,2023-01-14 17:03:00,43.637873,-95.713862,43.637708,-95.676313,1.878,Slow traffic on I-90 E from CR-13/Exit 33 (I-90) to MN-266/Exit 42 (I-90) due to accident.,I-90 E,Worthington,Nobles,MN,56187,US,US/Central,KOTG,2023-01-14 16:56:00,32.0,19.0,85.0,28.11,10.0,S,22.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-350816,Source2,2,2017-03-21 22:31:17,2017-03-21 23:15:58,33.943115,-117.282516,,,0.01,Right hand shoulder blocked due to accident on CA-60 Eastbound at Exit 58 I-215.,Moreno Valley Fwy E,Riverside,Riverside,CA,92507,US,US/Pacific,KRAL,2017-03-21 22:35:00,57.0,,100.0,30.06,2.0,Calm,,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1854413,Source2,2,2019-09-30 10:46:02,2019-09-30 11:46:18,43.01231,-87.918541,,,0.0,Accident on WI-38 6th St at Historic W Mitchell St.,W Historic Mitchell St,Milwaukee,Milwaukee,WI,53204-3510,US,US/Central,KMKE,2019-09-30 10:52:00,74.0,74.0,82.0,29.24,9.0,SSW,10.0,0.0,Partly Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-6409914,Source1,2,2021-02-03 13:59:00.000000000,2021-02-04 02:23:29.000000000,26.42468,-81.788219,26.431199,-81.787664,0.452,Stationary traffic on County Hwy-850 from Williams Rd to Town Commons Dr due to accident., Three Oaks Pkwy,Estero,Lee,FL,33928,US,US/Eastern,KRSW,2021-02-03 13:53:00,64.0,64.0,41.0,30.02,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4173939,Source1,2,2023-02-08 14:07:00,2023-02-08 16:18:26,34.377724,-118.493753,34.377544,-118.493521,0.018,Accident on Placerita Canyon Rd from Sierra Hwy to CA-14/Antelope Valley Fwy.,Antelope Valley Fwy S,Newhall,Los Angeles,CA,91321,US,US/Pacific,K3A6,2023-02-08 13:51:00,77.0,77.0,21.0,29.31,10.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1407851,Source2,2,2020-07-31 08:20:45,2020-07-31 08:50:25,34.079605,-117.545006,,,0.0,Accident on I-15 Southbound at Exit 110 4th St.,I-15 S,Rancho Cucamonga,San Bernardino,CA,91730,US,US/Pacific,KONT,2020-07-31 07:53:00,82.0,82.0,37.0,28.89,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7037306,Source1,2,2020-05-18 10:32:59,2020-05-18 10:47:59,34.05129,-118.00612,34.0507,-118.00645,0.045,At CA-60/Pomona Fwy - Accident. Hard shoulder blocked. Heavy rain.,I-605 S,La Puente,Los Angeles,CA,91746,US,US/Pacific,KEMT,2020-05-18 10:26:00,67.0,67.0,84.0,29.87,9.0,SSW,8.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-508690,Source2,2,2017-07-13 07:13:39,2017-07-13 07:43:25,29.698565,-95.504799,,,0.0,Accident on Sharpview Dr at Sandpiper Dr.,Sharpview Dr,Houston,Harris,TX,77074-4819,US,US/Central,KMCJ,2017-07-13 07:15:00,80.6,,79.0,30.07,10.0,East,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5491944,Source1,2,2021-12-11 15:45:04,2021-12-11 16:05:30,40.305785,-75.894764,40.308306,-75.90386600000002,0.51,Slow traffic on Benjamin Franklin Hwy W - US-422 W - Conrad Weiser Pkwy from Neversink Rd (US-422) to I-176 (US-422) due to accident.,Benjamin Franklin Hwy W,Birdsboro,Berks,PA,19508,US,US/Eastern,KRDG,2021-12-11 15:54:00,65.0,65.0,78.0,29.21,10.0,SSW,15.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4968899,Source1,2,2022-01-11 14:22:00,2022-01-11 15:44:31,40.107569,-76.201171,40.105089,-76.20007199999998,0.181,Multi vehicle crash on PA 772 both directions at CENTER SQUARE RD. There is a traffic disruption., Glenbrook Rd,Leola,Lancaster,PA,17540-9725,US,US/Eastern,KLNS,2022-01-11 13:53:00,23.0,11.0,44.0,30.08,10.0,W,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7150075,Source1,2,2020-04-01 06:38:30,2020-04-01 07:10:49,34.067370000000004,-118.16352,34.067370000000004,-118.16352,0.0,At I-10/San Bernardino Fwy - Accident.,I-710 S,Alhambra,Los Angeles,CA,91803,US,US/Pacific,KCQT,2020-04-01 06:52:00,60.0,60.0,78.0,29.65,6.0,CALM,0.0,0.0,Haze,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-814657,Source2,2,2021-11-17 07:45:16,2021-11-17 09:14:40,39.050591,-76.930222,,,0.0,Right hand shoulder blocked due to accident on I-95 Southbound at Exit 29 MD-212 Powder Mill Rd.,I-95 N,Beltsville,Prince George's,MD,20705,US,US/Eastern,KCGS,2021-11-17 07:55:00,37.0,37.0,93.0,30.22,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6258291,Source1,2,2021-06-09 14:40:45,2021-06-09 17:45:16,25.826133,-80.287609,25.82611,-80.28815999999998,0.034,Incident on ORIOLE AVE near N ROYAL POINCIANA B Drive with caution., N Royal Poinciana Blvd,Miami Springs,Miami-Dade,FL,33166-4428,US,US/Eastern,KMIA,2021-06-09 14:53:00,88.0,88.0,57.0,30.11,10.0,E,14.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
